hospital,role,department,city,salary,hiring_type,phone,email,contact,notes,date_posted,source_url
NIRMALA AROGYAM HOSPITAL,Duty doctor,General / Casualty,"Gwalior, Madhya Pradesh",,Full-time,,,Call hospital reception/admin,BAMS required; BHMS required; Apply via Indeed; Source: Indeed,27 may 2026,https://in.indeed.com/rc/clk?jk=d666e97e9d83548f&bb=t886_VjsR2Gv5wf-TXlcmwdc3XZydrEY7j8MVghnPxxge9bAWVJwwrWKPEMRn8NFo4GLtNUb9hEDlMdwd7LI0xvzo420AMiobB5ewVOsCx6r-wxZvdcevpalaM3u8E1SqANhEb9M_7PZQUv29jDI-A%3D%3D&xkcb=SoCY67M3iB1-XjTN0x0CbzkdCdPP&fccid=881b6b83ff14d7dd&cmp=NIRMALA-AROGYAM-CENTRE&ti=Physician&vjs=3
ACER DIAGNOSTICS,Consultant Doctor,"Emergency / Casualty, ENT","Santoshpur, Kolkata, West Bengal",From ₹300 a day,,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=725747289bc25e64&bb=t886_VjsR2Gv5wf-TXlcm7fCwO7wV_o7oQbDX2jB7gSH-AcbGbn7ILowqFs3c8CPBxlu9tgIJyrCHH1ImSZ4bsljiuyx0NXbycrELVJSdUJno20yvupiYAl4J1AJwft8wENcZZwSCvmST8UBY1O_kQ%3D%3D&xkcb=SoAF67M3iB1-XjTN0x0BbzkdCdPP&fccid=85f9244328b6407e&cmp=ACER-DIAGNOSTICS&ti=Physician&vjs=3
Dsr health care polyclinic and diagnostic centre,Doctor,ENT,"Neredmet, Hyderabad, Telangana","₹90,000 - ₹1,00,000 a month",Full-time+1,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,13 may 2026,https://in.indeed.com/rc/clk?jk=d4911e817021f8a4&bb=t886_VjsR2Gv5wf-TXlcm451iKAW1kRLmmergC5L77MXds6Spx2z_fl_rsOCWsL4MffnFyB8Jwq-kE0GGon-UUGVtCFF6zC7w4v9FADCCTwPIumufJRmqxtkXA5xMJRvgvm27IByKuTYe8kf2wg7YA%3D%3D&xkcb=SoCx67M3iB1-XjTN0x0AbzkdCdPP&fccid=f5e5224c8ceaee9e&cmp=Ds-health-care&ti=Physician&vjs=3
Amar Job Consultancy,General Physician,ENT,"Sonipat, Haryana","₹3,00,000 - ₹4,00,000 a month",Full-time+1,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,29 may 2026,https://in.indeed.com/rc/clk?jk=5073d61c4559f2e5&bb=t886_VjsR2Gv5wf-TXlcm4JpVQU7_M_DLZNHFEJ5kOo7ssyKjn6kLQDFsLfDwqsjGWHYal8rMKL65zij0qxxIlQkbrsZLfq_dD1Z1wfVcpgXi1zm_erE1Wr_ju_uZaMDvP8QyVJgcMRegrblzzNkBA%3D%3D&xkcb=SoA_67M3iB1-XjTN0x0HbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Amar-Job-Consultancy&ti=Physician&vjs=3
bhopal care hospital banapura,MBBS DOCTOR,ENT,"Seoni Malwa, Madhya Pradesh","₹85,000 - ₹1,20,000 a month",Full-time+3,,,Call hospital reception/admin,MBBS required; MCI/State Council registration required; Apply via Indeed; Source: Indeed,27 may 2026,https://in.indeed.com/rc/clk?jk=1bbd018347c3ed9a&bb=t886_VjsR2Gv5wf-TXlcm_8YMi9JIoU4aVo0Hj3y_VjuSATdplaSscIOCge3rzKNxgtTu3606XUS4Bmvj4DbvyuqDegSFP1wPIfSamg3c3at1dqgjzy7wjTb2wG1-yHp3oEUv4fXDHGxkIknh_9g1w%3D%3D&xkcb=SoCL67M3iB1-XjTN0x0GbzkdCdPP&fccid=ae8e0227c04d07ee&cmp=bhopal-care-hospital-banapura&ti=Physician&vjs=3
khuraishis medical clinic,duty doctor,General / Casualty,"Tirur, Kerala","From ₹5,000 an hour",Full-time,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/rc/clk?jk=0e2ce44276160fc2&bb=t886_VjsR2Gv5wf-TXlcm_ftMpq7F7nzCLyJiIohOUI0_wdBwyO547zX4HAN4fqyovgFhDp32W6WdLYeUM_4age4_Gulq1yzKqLfWQ2rPGfUx_4pwVWt6vjvALqD2gDYp4HTtZ1cNCnwkiSbO2hAkQ%3D%3D&xkcb=SoAW67M3iB1-XjTN0x0FbzkdCdPP&fccid=dd616958bd9ddc12&cmp=khuraishis-medical-clinic&ti=Physician&vjs=3
Doctor Rekha Ayurveda,Online Ayurvedic Doctor,"ENT, Ayurveda",Remote,,Full-time+1,,,Call hospital reception/admin,Experienced preferred; Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=474771331f06ce7e&bb=t5CdpiT1B1_dUUAeMIRElsNXuokEY69IS56GN7h0e6gKEMmwrogwI-CyIjrRvQXMR9MsxoocXWZFvm2ZDHPs2jHRm-SRQfcUQzXuLEuCn3PXOjkGMeRTMqxnhgxt3aZdkKVhWcg7_89oglFQhJ1otA%3D%3D&xkcb=SoDK67M3iB1-ILTCdp0LbzkdCdPP&fccid=7d647a498787207d&cmp=Doctor-Rekha-Ayurveda&ti=Ayurvedic+Physician&vjs=3
RJR HERBAL HOSPITALS,Consultant Doctor - BAMS/BSMS,General / Casualty,Puducherry,"₹25,000 - ₹70,000 a month",Full-time,,,Call hospital reception/admin,BAMS required; Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvZItGlW1nXVUlU6yynCMLLf6Uz3s1WJimdg2zQjJLEaSaxZZgBcOsM1F9LaLg8RvaMkOS0AEnQnCwuEOagyRgGvY8tTdtTuJ0b8lx5Yybweqi2VZ8dcUGLfpYClLqdJfoNHaMhFReTiqaM9VvaXDM0jmi-awF8jSX7itSovai9sxsoY674k7rqhqKU3RD5xjO86AEfIZWglfvk1W92X5dvO75igGZLJWgVWawly4qmAJWkUNyB9jDHjuniA9xZgH9cQsWQvUoXi80YWTG5pbVk1-fqViqfzySYx4CeXp2USyqFVEoGnS83kv-H1Ys_v3qv0C7D0HOVbS62jpDKWl8r-D9yV-E9maPw8klNH22weALSE_OEY9tQVq3fU4LPmXvEf69x_9Ah40eqxlF352oNIuJDZK5LBxZujFTxuzbf8CdCa3xjK5kYMG6nIa1urlgZSholR8-7mR1Z09fvvwxPs0NGxOS1KQG2KAvdaOfkhuaigw8Bm9Zziar_ZNW7PK0lSrYpH2iqW4xxOh4DMNL1IfkWzqC-PYz06FLd1Dx-isvClpHdXzmfiuJsaIPDnTwO2hWQQa9pcjFY63KMhw_BYk3PMZ9G49r1bqD7SlnXPkQ-f3aEobAcdqy6pAf2n-TevZvu5_7XW7977cLwqwUaOV4XRBkjt9ALNgDTYO5zcxQqJhzt0RFPc6RMmN8z0Y=&xkcb=SoCK6_M3iB1-ILTCdp0KbzkdCdPP&camk=UoKtGZLa3XLXmHz5f3y8vA==&p=1&fvj=0&vjs=3
Karma ayurveda,bams doctor,"ENT, Ayurveda","Jaipur, Rajasthan","₹50,000 - ₹60,000 a month",,,,Call hospital reception/admin,BAMS required; PF benefits; Apply via Indeed; Source: Indeed,25 may 2026,https://in.indeed.com/rc/clk?jk=81373bd4bd7489a0&bb=t5CdpiT1B1_dUUAeMIREltE50xM43S5MIXZ7EIRyTE_NVxBM3QRou0Yz_zSGvAN3jgBG31nb4Mmjd9HJEizIdN18L1WxtoHD1y-JtfvAteT8tPBTN-ZhRVKyFfLl0TsQ6sO7DYmXTS3KBshoxueHhg%3D%3D&xkcb=SoDj67M3iB1-ILTCdp0JbzkdCdPP&fccid=fb30ab5e3e7efe11&cmp=Karma-Ayurveda&ti=Physician&vjs=3
AIHM,bams doctor,Emergency / Casualty,"Indore, Madhya Pradesh","₹20,000 - ₹45,000 a month",Full-time,,,Call hospital reception/admin,BAMS required; Apply via Indeed; Source: Indeed,30 may 2026,https://in.indeed.com/rc/clk?jk=a3b29605c5631f9b&bb=t5CdpiT1B1_dUUAeMIRElqeWICJtmy4dbp6d4j6iD_lkHqhjT6pm21WfILU3WHfmDtIQ1oy79DJqhPW3eWDf33fGRTJPwh1RtAKeguuEsGJTpgsYrlPuYi0RImkzDeiSgkbMPzHVwlpPsJl8nsdYrA%3D%3D&xkcb=SoBX67M3iB1-ILTCdp0IbzkdCdPP&fccid=cbcb7e7e36c159ee&cmp=AIHM&ti=Physician&vjs=3
Karma ayurveda,BAMS Doctor(OA),"ENT, Ayurveda","Mumbai, Maharashtra","₹60,000 - ₹70,000 a month",Fresher Welcome,,,Call hospital reception/admin,Freshers welcome; BAMS required; PF benefits; Apply via Indeed; Source: Indeed,25 may 2026,https://in.indeed.com/rc/clk?jk=0c4523a4986c9fab&bb=t5CdpiT1B1_dUUAeMIRElt6kSkViLL41C9shDFHpFMfdWikpu5DrRVhWKq2U7xE_JcD6KycUqmYbHz9yqFggQ3a6srYBV2DzsNUPgHr36hS3Mez66jpzikn0A5y2oBUus-u2Zy2K2OeCxNGAegCzIA%3D%3D&xkcb=SoDZ67M3iB1-ILTCdp0PbzkdCdPP&fccid=fb30ab5e3e7efe11&cmp=Karma-Ayurveda&ti=Physician&vjs=3
HR ACTIVE SERVICE,BAMS Doctor,"Emergency / Casualty, ENT","Gurgaon H.O, Gurugram, Haryana","₹50,000 - ₹60,000 a month","Urgent, Immediate Joining",,,Call hospital reception/admin,Urgent requirement; Immediate joining; BAMS required; Apply via Indeed; Source: Indeed,19 may 2026,https://in.indeed.com/rc/clk?jk=2f37375fa88d40c7&bb=t5CdpiT1B1_dUUAeMIREluKEjgj2B_Au2hFxe46cq3BAqyMD01IgF80tS-IE5IBD8g7vtOrurFhtakdr1HR3Izn3yrR6J9P_v0TVrQ_0QS8mFMXbgI3d4O5lTFv3OqKl2TVLsT45DGFbZ-eNVO9mwg%3D%3D&xkcb=SoBt67M3iB1-ILTCdp0ObzkdCdPP&fccid=7ed8af34aea72b23&cmp=HR-ACTIVE-SERVICE&ti=Physician&vjs=3
Welcome Cure Pvt Ltd,Ayush medical officer,"Emergency / Casualty, ENT",Remote,₹30 - ₹50 an hour,Flexible schedule,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,11 may 2026,https://in.indeed.com/rc/clk?jk=3d265d4d72965d7c&bb=t5CdpiT1B1_dUUAeMIREljoi8NKm2dKS74GXQ-sCD0MCbS6cIIOAmkuzgTy5tkum3cFVlH-elsZQa-yKmaKQTlhTLLHcIJhIPgrM-GFoX5QoTqZ1i2ypUM8sqRlEyw1WekuM_jhbOCBNtRbskG9JeA%3D%3D&xkcb=SoDw67M3iB1-ILTCdp0NbzkdCdPP&fccid=a37413b5f07be2c8&cmp=Welcome-Cure-Pvt-Ltd&ti=Medical+Officer&vjs=3
Spring Raise Service Ltd,Bams doctor,"ENT, Ayurveda","Ranchi, Jharkhand","₹22,000 - ₹60,000 a month",,,,Call hospital reception/admin,BAMS required; Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=515b9d1c66a81be4&bb=t5CdpiT1B1_dUUAeMIREliw8oyvViz-_IH_EJvZS23ewnmz8ogBOYKG51BAc7Xu6RVvM88ztqHcbDMYo4f7ctMFVlUcGGDthdrMMXTLUn0K8aDtJJi-kcoA4fdo2eLooTgitF0iX65QZsfNchVhRsQ%3D%3D&xkcb=SoBE67M3iB1-ILTCdp0MbzkdCdPP&fccid=0d14fd8145faab4f&cmp=Spring-Raise-Service-Ltd&ti=Physician&vjs=3
Pure Natural Products,"DOCTOR,BAMS",Emergency / Casualty,"Delhi, Delhi",,,,,Call hospital reception/admin,BAMS required; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=8e079180f4862ab6&bb=t5CdpiT1B1_dUUAeMIRElrGy_NmMOt4j4X3qK-i5of5_7gejT0QIMlRKdB86VObliXjJGBrDSecXaNYinO6aoj-Bu4S-1vsTRkcloVE0Nm7ZtmwoNQHAwxZMsigYbMBn0kB2_KWmSdhDS_FJmkiaog%3D%3D&xkcb=SoCt67M3iB1-ILTCdp0DbzkdCdPP&fccid=a40c98950b40df32&vjs=3
Research Ayu,Consulting Doctor,"Emergency / Casualty, ENT","Shahdara, Delhi, Delhi","₹40,000 - ₹70,000 a month",,,,Call hospital reception/admin,Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,27 may 2026,https://in.indeed.com/rc/clk?jk=82a8b18c9fd8b150&bb=t5CdpiT1B1_dUUAeMIREllnlP8mNONKg-n6POqy0_36ThQ-z3URgEFVjXLU98UI04IfqrhwS5JqHOta5V0QYHT2S4YAK97-fIg6Kj1rhdaGf9-BFp_9WY37_8gVhTDCB2qAZwJjMidZ2ZevzKPOKig%3D%3D&xkcb=SoAZ67M3iB1-ILTCdp0CbzkdCdPP&fccid=d2e577dc78512c40&cmp=Research-Ayu&ti=Physician&vjs=3
Yash Birla Group,Head Doctor- Ayurveda,"ENT, Ayurveda","Mumbai, Maharashtra","₹40,000 - ₹65,000 a month",Experienced,,,Call hospital reception/admin,Experienced preferred; Apply via Indeed; Source: Indeed,18 may 2026,https://in.indeed.com/rc/clk?jk=c22e744b1836db4d&bb=t5CdpiT1B1_dUUAeMIRElt6kSkViLL41jxlD2tdDNF7aOZoHVFBA_MkZBZJepDb1rWBlH-Zf1EmsTMC_-_Id739YnFZ6dydtJLlB0cpaj7EXIsCNsR4SKhZE3k5DtiRvaX4UwgMVhXRKUJePrUG2HA%3D%3D&xkcb=SoCE67M3iB1-ILTCdp0BbzkdCdPP&fccid=f475d6892b40985a&cmp=Yash-Birla-Group&ti=Ayurvedic+Physician&vjs=3
Yash Birla Group,Head Doctor- Ayurveda,"ENT, Ayurveda","Mumbai, Maharashtra","₹40,000 - ₹65,000 a month",Experienced,,,Call hospital reception/admin,Experienced preferred; Apply via Indeed; Source: Indeed,,https://in.indeed.com/viewjob?jk=456789abcdef0123
