hospital,role,department,city,salary,hiring_type,phone,email,contact,notes,date_posted,source_url
Research Ayu,"Consulting Doctor, Regeneration Specialist","Emergency / Casualty, ENT","Aurangabad, Maharashtra","₹40,000 - ₹70,000 a month",,,,Call hospital reception/admin,Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,22 may 2026,https://in.indeed.com/rc/clk?jk=a56964907744dcb0&bb=t5CdpiT1B1_dUUAeMIRElloJZHgQvTQluPejUP8kUvtWib1iV95tdiB4OJL1wBZet-ixy0n9GmFbm_74N-MRwcW70aKjkDoNYTSFYn1KjEbOGqI953x36RyJP8Ax1jKn-OGMVcFQptdZ05P1umbweg%3D%3D&xkcb=SoAw67M3iB1-ILTCdp0AbzkdCdPP&fccid=d2e577dc78512c40&cmp=Research-Ayu&ti=Physician&vjs=3
Gynoveda,Ayurveda consultant,"ENT, Ayurveda","Patna, Bihar","₹3,00,000 - ₹7,00,000 a year",Flexible,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,7 may 2026,https://in.indeed.com/rc/clk?jk=076303f9e49284e9&bb=t5CdpiT1B1_dUUAeMIREllOsomdECYP5YxL29SFVKDHi6W6ozeWiD44QkNyDs6oAdBdQ-3Mx2qJAUIvRSLmquipJ5pyS9A_ezr8CJ5QZrhbdg0deZDc-Ae3UnR6IL6AB5xJhYWq3mY0Pr5LVr4-Ppw%3D%3D&xkcb=SoC-67M3iB1-ILTCdp0HbzkdCdPP&fccid=7d7571dd887c2d66&cmp=Gynoveda&ti=Ayurveda+Consultant&vjs=3
SHRI RAM HOSPITAL,bams doctor,ENT,"Chand Nagar, Delhi, Delhi","From ₹25,000 a month","Full-time, Fresher Welcome",,,Call hospital reception/admin,Freshers welcome; BAMS required; Insurance benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=c77511d42342e300&bb=t5CdpiT1B1_dUUAeMIREloDTHcnMrkihvAAoHhi-H57kJpZTtuLaBdJAVOUui-mRUc7mkNKGbV1l1HEyKCupMa8-R5avALs5RnSWikN2TUmbvEiJTzefdhsGUxn8E1vjGXsupvoevJkH6N4o5s4yX8a4heCFvEca&xkcb=SoAK67M3iB1-ILTCdp0GbzkdCdPP&fccid=92423986bf706f1e&cmp=Shri-Ram-Hospital&ti=Physician&vjs=3
"Velmed hospital ,dehradun",Query Officer,"Emergency / Casualty, ENT","Dehradun, Uttarakhand","₹35,000 - ₹50,000 a month",Fresher Welcome,,,Call hospital reception/admin,Freshers welcome; PF benefits; Apply via Indeed; Source: Indeed,14 may 2026,https://in.indeed.com/rc/clk?jk=1bbe2863d32f9a3b&bb=t5CdpiT1B1_dUUAeMIREluA41pvpM5AVi8yULJ0uKdCMuhuC9ycikjXE4mGuFylcqqH05DND6jQqdN2xj64Iqcb45v4Ic2dMJHeMuy2jM7oWaJUWgX8Enoy1MgzJ67AD0dTpUhxVXc3wV6SKuV8jxw%3D%3D&xkcb=SoCX67M3iB1-ILTCdp0FbzkdCdPP&fccid=d69e54bda20c9868&cmp=Velmed-hospital-%2Cdehradun&ti=Query+Officer&vjs=3
CHINMAYA MISSION HOSPITAL,Payroll Executive,"Emergency / Casualty, ENT","Indiranagar, Bengaluru, Karnataka","₹14,619.36 - ₹33,926.63 a month",Locum,,,Call hospital reception/admin,Insurance benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=d498b712a08093cf&bb=RnSajQGoP-Dt8g7KlcfWv8cHnaiWP93vz7UA3rC8IslNNc8Eg-wR6_Q27CtCTsT1lG1COleSNi1hE-RSY6oTeKBNH_MZ3mmMq4wBMpsU1753O2EMFtTNukJxLksVSyg7SaW9DuSCbu4%3D&xkcb=SoAw67M3iB195_z4JJ0LbzkdCdPP&fccid=5b97fbbfbb8be21f&cmp=CHINMAYA-MISSION-HOSPITAL&ti=Payroll+Coordinator&vjs=3
Fortis Hospital Mohali,Junior Resident,"Emergency / Casualty, ENT",Chandigarh,"₹50,000 - ₹85,000 a month",Full-time+3,,,Call hospital reception/admin,Freshers welcome; Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,11 may 2026,https://in.indeed.com/rc/clk?jk=8b959fa2d1787a6e&bb=RnSajQGoP-Dt8g7KlcfWv35LA2j8mP7oc5riHndwVAN8soxUXcs6w4qvAWERVfB1NUx6gREuZpNdFwMsJFrsK7pQcHBR8YBb2oqB5ox0P9DPHSY3XQWTzjk9yFqiNRCHeouviJLQgRM%3D&xkcb=SoCE67M3iB195_z4JJ0KbzkdCdPP&fccid=5a86e0051bd5a721&cmp=fortis-hospital-mohali&ti=Junior+Resident&vjs=3
Ohealer Healthcare Services Private Limited,Locum Doctor,"Emergency / Casualty, ENT","Bangalore City, Bengaluru, Karnataka","₹2,000 - ₹2,500 a day",Flexible schedule,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,5 may 2026,https://in.indeed.com/rc/clk?jk=f1ac900433302eb1&bb=RnSajQGoP-Dt8g7KlcfWv2lAuYRAoAVq4g6VosynfGrPGPBRuk8OSJwixRFp6pbcHdjKMpxH5joGlHzgZfgu9WzztgI5IVFAVrB9Im406L0epPOZ1bJQSowIDQEB3UTH0zLyTX6c66Y%3D&xkcb=SoAZ67M3iB195_z4JJ0JbzkdCdPP&fccid=c701f69bdc546151&cmp=Ohealer-Healthcare-Services-Private-Limited&ti=Physician&vjs=3
Zivia Healthcare Pvt Ltd,Cluster Lead,"Emergency / Casualty, ENT","Dadar, Mumbai, Maharashtra","₹28,000 - ₹35,000 a month",Full-time,,,Call hospital reception/admin,Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/rc/clk?jk=b2df397eda5deb70&bb=RnSajQGoP-Dt8g7KlcfWv_KloI1CtJGkJ90eFLwVGsh-VnMu8IolZK3cLAXnVO6fuSJqKTg6qFKzEhnfDz8qwiAMx_PFEkwAeI5bA488w1oqQ3lIiuZX4ODamPGx2s87mCr-Na2ItfQ%3D&xkcb=SoCt67M3iB195_z4JJ0IbzkdCdPP&fccid=bf975365a5bb3025&cmp=Zivia-Healthcare-Pvt-Ltd&ti=Shift+Leader&vjs=3
Unipath solutions LLP,Healthcare Recruitment Consultant,"Emergency / Casualty, ENT","Ambawadi, Ahmedabad, Gujarat","₹4,50,000 - ₹5,50,000 a year",Full-time+1,,,Call hospital reception/admin,Insurance benefits; PF benefits; Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/rc/clk?jk=7240b85a5f5861d1&bb=RnSajQGoP-Dt8g7KlcfWv4tlP8Bj4g6po6PnZ6ToW4_WUJS9xwVRIeHszIZo--dcfGx2ZQaNKW3FdZzD6_vmO_0sI6OtABQEjyeZzoYV1z5UcjsMnReCYV_SrwpTxLUn855ZRd0tXA4%3D&xkcb=SoAj67M3iB195_z4JJ0PbzkdCdPP&fccid=214b228e89e026f3&cmp=unipath-solutions&ti=Healthcare+Recruiter&vjs=3
Stemz Healthcare Private Limited,Staff Nurse-Locum,"Emergency / Casualty, ENT, Hematology","Saligramam, Chennai, Tamil Nadu","₹900 - ₹1,000 a day",Internship+2,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,12 may 2026,https://in.indeed.com/rc/clk?jk=f9153678c95e8cc8&bb=RnSajQGoP-Dt8g7KlcfWv8Ke3QKEFRGRBZWH9wlru6O0NKsapEyvogaqQ4PvRw5UyZTQeO8fqlc9AkhOW7AjyF8oGu5wB1VazSF2ZBT9NTIt6Jgb7HAGtn_wjjKZ9co4Q5x6RMKXkHw%3D&xkcb=SoCX67M3iB195_z4JJ0ObzkdCdPP&fccid=10333577f325a05c&cmp=Stemz-Healthcare-Private-Limited&ti=Registered+Nurse&vjs=3
Dental Clinic Rahatani,"""Locum Dentist Required","ENT, Dental","Pune, Maharashtra",,Full-time+2,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/rc/clk?jk=1985d9e4cf8eff12&bb=RnSajQGoP-Dt8g7KlcfWv6VDKF6QjLnkkldechPDoO2IhLWp1QoMOY3RITW_0X5clUg8keBQW_-xIZRZ-Lq3ocBukT4_hSy8440Av9-lnTv7lkQdRvL2rYmp2PMd6x9zyeobjWiCiH4%3D&xkcb=SoAK67M3iB195_z4JJ0NbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Dental-Clinic-Rahatani&ti=Dentist&vjs=3
Ohealer Healthcare Services,Locum Doctor,"Emergency / Casualty, ENT","Bangalore City, Bengaluru, Karnataka","₹1,250 - ₹2,500 a day",Locum,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,13 may 2026,https://in.indeed.com/rc/clk?jk=63f93f3cc041d4e9&bb=RnSajQGoP-Dt8g7KlcfWv3Av_yy5SuKEzgj97myHpFNwhwQF9DkkD588nBsst-WKlhOi0RnOjIFZC2XBRpoBBgJFkAuG0gEg7s58c2ERJ8mWp62S-Qj86M96dsAQGlXmqr4l4XM2DjE%3D&xkcb=SoC-67M3iB195_z4JJ0MbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Ohealer-Healthcare-Services&ti=Physician&vjs=3
Batra Heart & Multispecialty Hospital,RMO (Gyneacology ),"Cardiology, ENT","Faridabad, Haryana",,Part-time,,,Call hospital reception/admin,Freshers welcome; MCI/State Council registration required; NMC registration required; Apply via Indeed; Source: Indeed,15 may 2026,https://in.indeed.com/rc/clk?jk=18a69f3b3b65e0d6&bb=RnSajQGoP-Dt8g7KlcfWv0AphNug9E4xouOaZ5otPt-0rYZRtgsoFkTuo9f2R2JW0s3p1ElIgsFrlUn0hId9HjAQxX4_f0IWGyKcium-uJL1LKdvlOEae36vzBENJ2E6YC08neYTBNE%3D&xkcb=SoBX67M3iB195_z4JJ0DbzkdCdPP&fccid=7e7df50bc5fd7d29&cmp=Batra-Heart-%2526-Multispecialty-Hospital&ti=Rmo+%28gyneacology+%29&vjs=3
Shri Ganesh Dental Care,Need dental associate Doctor (Locum),"ENT, Dental","Hadapsar, Pune, Maharashtra","₹6,000 - ₹9,000 a month",Part-time,,,Call hospital reception/admin,Freshers welcome; Apply via Indeed; Source: Indeed,6 may 2026,https://in.indeed.com/rc/clk?jk=03982e25a58d2ad0&bb=RnSajQGoP-Dt8g7KlcfWv3TYbuq8FaCJ4M7cZcWvTdklX51vdUkflxS36TMEU7u_NWq0nOABzNhkU-wvRdmcODrOYGNVrRGDiZtygC3aEjTorFs_6soVHqoMMXYV0OsTNWsqYnppe2I%3D&xkcb=SoDj67M3iB195_z4JJ0CbzkdCdPP&fccid=e539963285e40e75&cmp=Shri-Ganesh-Dental-Care&ti=Dentist&vjs=3
IndraSur Consulting Services,Account Manager – Healthcare Staffing,"Emergency / Casualty, ENT","Mohali, Punjab",,Locum,,,Call hospital reception/admin,Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=a30a59b202026aa0&bb=RnSajQGoP-Dt8g7KlcfWv35LA2j8mP7oTLmFkzixF7-offe_8YT1WvOIib9n2b79i22e1ZWIgglsC7lSseRFyaKInaqgUX6DQ4APDqdCGbRLTfmDrEb7k-SJdO_trGQrrl761wlt7x0%3D&xkcb=SoB-67M3iB195_z4JJ0BbzkdCdPP&fccid=6dc08651105ffc71&vjs=3
InfoWryt Solutions LLP,Resident Medical Officer,"ICU, Emergency / Casualty, ENT","Begusarai, Bihar","₹20,668.56 - ₹85,242.47 a month",Full-time,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,27 may 2026,https://in.indeed.com/rc/clk?jk=5c3a88b363aea846&bb=NT4wbbI6n2hRPMvCijw4pSvDgdbUV81SsnpHjED2x7QXaiVYUIm8AOdiD5JnKaZh6lN_ieuWjE0y1kr5hQ5jtzJWf6ogb5NL8bk8kTcbBXFbw1rZa2zGOymyKTl1qv2Q-f8xTssj5HvHIqmtZrQbljCcSzuSKlK3Bhy75EO3EjY%3D&xkcb=SoDL67M3iB19r_zN0x0LbzkdCdPP&fccid=2f108b2bec9af6ad&cmp=INFOWRYT-SOLUTIONS-LLP&ti=Medical+Officer&vjs=3
"SPES Super Speciality Hospital, Greater Noida",Resident Medical Officer (RMO),"Emergency / Casualty, ENT","Greater Noida, Uttar Pradesh","₹25,820.04 - ₹1,29,047.81 a month",Full-time+1,,,Call hospital reception/admin,Freshers welcome; Experienced preferred; Insurance benefits; Apply via Indeed; Source: Indeed,20 may 2026,https://in.indeed.com/rc/clk?jk=5d99fc6a23e2fbd8&bb=NT4wbbI6n2hRPMvCijw4pXqZl6ZGLsRDggWBbqsuAnk8VpTsZjcgUVbXboSapcwC7wlBs1m1wRv8Q6bdrWSgcLEek57XCWuzqQYb-__0NczLutbDLQky1Lg-rn5YiqQeouvF1Uq2rAo__ZTR8zDtNPB3Q4UGtGqJGkypEYBc-oE%3D&xkcb=SoB_67M3iB19r_zN0x0KbzkdCdPP&fccid=84cb53b15c9d1b33&cmp=SPES-Super-Speciality-Hospital%2C-Greater-Noida&ti=Medical+Officer&vjs=3
Sanjivani Shashwat Hospital,Resident Medical Officer,"Emergency / Casualty, ENT","Pune, Maharashtra","₹25,000 - ₹50,000 a month",,,,Call hospital reception/admin,PF benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=45f90bf00e31baa7&bb=NT4wbbI6n2hRPMvCijw4pdsVRMB2ba95i7LPM4h_ejCgc5mOFo-gLJ_MNqnyigx9VZn6Mz6_XmpZoHsxRd2Eqy4PZZ3XQrejiZE4tw0rePXhVRa7rskaE4FQkzYsKxLbfN-AEj56lfg60hmY2g68bPt8G7dys70a1RqjH-AKDlg%3D&xkcb=SoDi67M3iB19r_zN0x0JbzkdCdPP&fccid=14f4eba6235738da&cmp=Sanjivani-Shashwat-Hospital&ti=Medical+Officer&vjs=3
Ford Hospital and Research center,Resident Medical Officer,"Emergency / Casualty, ENT","Patna, Bihar","₹20,783.80 - ₹80,465.12 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,9 may 2026,https://in.indeed.com/rc/clk?jk=5ae168411d30ed6c&bb=NT4wbbI6n2hRPMvCijw4pc-98YAWmqiyKbPZ9IdtYH4MkFN23Gd0g2-6-DK5HwtZXEn6YMemz6vHpKjcJbZpoiV0n_sAuiCI9er6SOEUdFVmR0yM8t3Etm8UDa6dvNhsP7ERJMWmDU7EDEOTHRDkjcsRTHEtkHxWQUL0ovFh3IQ%3D&xkcb=SoBW67M3iB19r_zN0x0IbzkdCdPP&fccid=2078f25fddb79fdb&cmp=Ford-Hospital-and-Research-Center&ti=Medical+Officer&vjs=3
Jain Hospital,Resident Medical Officer (RMO),"Emergency / Casualty, ENT","Anand Vihar, Delhi, Delhi","₹40,000 - ₹82,000 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,28 may 2026,https://in.indeed.com/rc/clk?jk=9f02a398ee1c7d59&bb=NT4wbbI6n2hRPMvCijw4pZw9O9w5zPl2cY3b2oVnna7biRzAKXSxxBemrXYdhpkog2oKQDM0MWM5NnyV2doHhVOV2oseIvl8UrGR2vQOUTbetM6F6gyJ4uUwhj6vgP1xwWx8UUXkVqft1u4gsw-B-856g8GS9Y4A1MvgtLFZuf4%3D&xkcb=SoDY67M3iB19r_zN0x0PbzkdCdPP&fccid=843d67cbcd2104fe&cmp=Kiara-Lifestyle-Clinic&ti=Medical+Officer&vjs=3
Apollo Hospitals,Resident - Medical Services,"Emergency / Casualty, ENT","Bengaluru, Karnataka",,,,,Call hospital reception/admin,Source: Indeed,4 may 2026,https://in.indeed.com/rc/clk?jk=42675f9f90ebd392&bb=NT4wbbI6n2hRPMvCijw4pZDyG1WkaGW4VGn8z8qYLGQBZRY2Yth5v9V5hH-nWk5HhaAMnFIlVBT0HHnOR061viiaeCyK_km0MUhl73fTd1DUjqIsxrvh8XlQda-enSBMxUfPYptK7IKm_qWSQGZwFQmwgJjJ7kwuMBnAQ6mlUAE%3D&xkcb=SoBs67M3iB19r_zN0x0ObzkdCdPP&fccid=cce3e9ab7a6f08b8&vjs=3
Our Family Clinic,Resident Medical Officer,"Emergency / Casualty, ENT","Thrissur, Kerala","₹90,000 - ₹1,10,000 a month",Full-time+1,,,Call hospital reception/admin,Insurance benefits; Apply via Indeed; Source: Indeed,22 may 2026,https://in.indeed.com/rc/clk?jk=79ea972a35b046cf&bb=NT4wbbI6n2hRPMvCijw4pVdlouE3nLeCva3-6A8f6z9Di5Ln3BtntSxqVoKjHZBI7lWZfvZ2yOrpZZQDO2YJb-lkGCbD8mW_inhr6la4iVJEdR8113Dr6hb8e1_I5vbAzLgR_0exDNHXeZdltTfKFPuxaP9mjBR4O51fH1nau4M%3D&xkcb=SoDx67M3iB19r_zN0x0NbzkdCdPP&fccid=c77f68a9ef32d8a6&cmp=Our-family-Clinic&ti=Medical+Officer&vjs=3
Max Healthcare,Resident Medical Officer,"Emergency / Casualty, ENT","Shalimar Bagh, Delhi, Delhi",,,,,Call hospital reception/admin,Source: Indeed,29 may 2026,https://in.indeed.com/rc/clk?jk=4c087119573f1d96&bb=NT4wbbI6n2hRPMvCijw4pS3zxXaBn4snSRZyPrhQsSDejUpogAlTMiwzPYdIUt8DTRBIS8CWHTI9cpJ7bDmJ_dNwtiG1E4MdO4N-IzHnxYoUi5r09WIbEPL0D_vvH6RUdrBzTU2FWJTHUzsCSc4yuKU-jSJMBsqNb2P6825Vqfs%3D&xkcb=SoBF67M3iB19r_zN0x0MbzkdCdPP&fccid=90ec85ee67b8e18b&vjs=3
sourcetrace consulting,Resident Medical Officer,"ICU, Emergency / Casualty, ENT","Bangalore City, Bengaluru, Karnataka","₹60,000 - ₹90,000 a month",Full-time+1,,,Call hospital reception/admin,Immediate joining; MBBS required; Apply via Indeed; Source: Indeed,1 june 2026,https://in.indeed.com/rc/clk?jk=78c281ae167c9dc6&bb=NT4wbbI6n2hRPMvCijw4pfBaaVTdTbNJEmcnrjArgTCyO1majqLljE-B1sdeWcx7ex7L99iQT9OUsPynYha1frs6xdwuIiY2Y-rXB1z-xoXcv-2A0zliYK1MXdRIAzsjEJF-jfcyN5H4LJW__L6jh2heDb42F02LWdlcGUvFTpw%3D&xkcb=SoCs67M3iB19r_zN0x0DbzkdCdPP&fccid=80cd4bf0d20c057e&cmp=sourcetrace-consulting&ti=Medical+Officer&vjs=3
Manipal Hospital-Millers Road,Resident Medical Officer,"Emergency / Casualty, ENT","Bengaluru, Karnataka","₹45,000 - ₹50,000 a month",,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=f7affeb9bd53fd56&bb=NT4wbbI6n2hRPMvCijw4pTH63h7mPkbdXHVBTIbEVZq4KIw2bwlN1bO7Si1IKllDr8wV-J03_IWLDrAib-1pUG8sxWrtZVSogpmRU61ZfcPu4v-735QzvHGE3_r3mgQo0TQtGDBOsuQMx83eP9iNklwezai8UJ031MQr8cctSro%3D&xkcb=SoAY67M3iB19r_zN0x0CbzkdCdPP&fccid=37d955b107be62f7&cmp=Manipal-Hospital--Millers-Road&ti=Medical+Officer&vjs=3
CHINGAVANAM MEDICAL CENTER,Resident Medical Officer (RMO),"Emergency / Casualty, ENT","Kottayam, Kerala","₹80,000 - ₹90,000 a month",Full-time+2,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,30 may 2026,https://in.indeed.com/rc/clk?jk=46d226776b791eab&bb=NT4wbbI6n2hRPMvCijw4pZw9O9w5zPl2M6aYg1dwhJ72FX27gU3AhwPU-RjYG-YwUc-E3pYWMxR_IrKRVk4bp9WUfiNLwYR42PBlXc7pBR-YBxElzGE6XMGk77YuSX4-3HT6l_XGTiyYtOrpOhhhj72mRJOt-qZRChUP7p0vFrQ%3D&xkcb=SoCF67M3iB19r_zN0x0BbzkdCdPP&fccid=8fa1c9716a609a16&cmp=CHINGAVANAM-MEDICAL-CENTER&ti=Medical+Officer&vjs=3
DR.LAL JI KIDNEY CARE CENTER,Resident Medical Officer,"Emergency / Casualty, Dialysis, ENT, Nephrology",Chandigarh,"₹30,000 - ₹50,000 a month",Full-time+1,,,Call hospital reception/admin,Insurance benefits; Apply via Indeed; Source: Indeed,2 may 2026,https://in.indeed.com/rc/clk?jk=4f49c68d1f1c7f1b&bb=NT4wbbI6n2hRPMvCijw4pXqZl6ZGLsRD1lyeUw6iIZJIIq6fug0EK9f2qRDDRgwNUoOdaCfG5B9fTggrvTRSTwCkMIPIp_XdOJrC4cdfHetazI03J1JC_ZbMFRL8zykEaDN52cUiyDX4GLzGq5t51B0cIb76opoFsagyzUOlZdo%3D&xkcb=SoAx67M3iB19r_zN0x0AbzkdCdPP&fccid=fde39076fd482167&cmp=DR.LAL-JI-KIDNEY-CARE-CENTER&ti=Medical+Officer&vjs=3
DR.LAL JI KIDNEY CARE CENTER,Resident Medical Officer,"Emergency / Casualty, Dialysis, ENT, Nephrology",Chandigarh,"₹30,000 - ₹50,000 a month",Full-time+1,,,Call hospital reception/admin,Insurance benefits; Apply via Indeed; Source: Indeed,,https://in.indeed.com/viewjob?jk=789abcdef0123456
Anvi Newborn and Child Hospital,Resident Medical Officer (RMO),"Emergency / Casualty, Pediatrics, ENT, Neonatology","Lalpur, Ranchi, Jharkhand",,Full-time,,,Call hospital reception/admin,Apply via Indeed; Source: Indeed,27 may 2026,https://in.indeed.com/rc/clk?jk=807a290b21bde95b&bb=NT4wbbI6n2hRPMvCijw4pfMSx0egxrglDxz0JuckicJkrZxisUfJ14vIG7uQM3aJGxXZpRdOGpSqSIxUhfXRUc1ZaOLEl2FiF_051nRtOIWzkGdCUt1CLdt1IZoXz8p6NVjlai0hBI3yko0Dj5BLR7PLDfLKZtJWB1zUoR1KVcc%3D&xkcb=SoC_67M3iB19r_zN0x0HbzkdCdPP&fccid=2319db7b5d5037cc&cmp=Anvi-Newborn-and-Child-Hospital&ti=Medical+Officer&vjs=3
Vasudev Hospital,Resident Medical Officer,"Emergency / Casualty, ENT","Raipur, Chhattisgarh","₹35,000 - ₹45,000 a month",Full-time+1,,,Call hospital reception/admin,Accommodation provided; Apply via Indeed; Source: Indeed,23 may 2026,https://in.indeed.com/rc/clk?jk=05cfd90e15d4db49&bb=NT4wbbI6n2hRPMvCijw4paP9Uh29oXVKCMNMc5zKKEEv3bj0CDSheI_iuTgMEIMo3L7MnRC5FsyhwiDKWv9JZXWnd8yRFoeYhJpPeVqy5qHVeyk20j8GRBKSn3DW3t4FYtKUOEiU5UN7CLdCjrumhp-MDCocGj3Y28CELyftExM%3D&xkcb=SoAL67M3iB19r_zN0x0GbzkdCdPP&fccid=7e1be55ec1e7dd9f&cmp=vasudev-Hospital&ti=Medical+Officer&vjs=3
PARMANAND HOSPITAL,Resident Medical Officer,"Emergency / Casualty, ENT","Jamtara, Jharkhand","₹60,000 - ₹70,000 a month",Full-time,,,Call hospital reception/admin,Food provided; Apply via Indeed; Source: Indeed,28 may 2026,https://in.indeed.com/rc/clk?jk=40083b696f96a8d6&bb=NT4wbbI6n2hRPMvCijw4pXH1jItpkakDg2WNJfwAbb3Oyfu4F-Xh06YJjlXCITUnNiG78FE9PqtQMcjApNqLokUrJJ2AEyc5SqKXbWmxRvF9r7L_ypP5YbFFiK6Zjgm7zces-9eKhrhc7Ma4Ayhr7Cd8EzQUPSzuSjjiBy8Eigo%3D&xkcb=SoCW67M3iB19r_zN0x0FbzkdCdPP&fccid=400be090ac45b055&cmp=Parmanand-Hospital&ti=Medical+Officer&vjs=3
Fortis Healthcare,Consultant - Interventional Cardiology,"Emergency / Casualty, Gynecology / Obstetrics, Cardiology, ENT, Rheumatology",Raipur,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgi/
Fortis Healthcare,Resident Doctor - Obstetrics & Gynaecology,"Gynecology / Obstetrics, ENT",KOLKATA,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgv/
Fortis Healthcare,Senior Admin Manager,"Emergency / Casualty, ENT",kolkata,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dg7/
Fortis Healthcare,Senior Pharmacist,ENT,Bangalore,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgz/
Fortis Healthcare,Senior Resident - Peaditirics,ENT,New Delhi,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgo/
Fortis Healthcare,Senior Resident - Rheumatology,"ENT, Rheumatology",Kolkata,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgr/
Fortis Healthcare,Staff Nurse – Operation Theatre,ENT,Hyderabad,,,,,Call hospital reception/admin,Source: Indeed,,https://fortishealthcare.hire.trakstar.com/jobs/fk0dgd/
